                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 128.14,                      0,                      0,                      0,                      0,                      0,                      0,                 23.628,                      0,               8.82e-06,               8.82e-06,               8.82e-06
                      2,                      0,                 125.09,                      0,                      0,                      0,                      0,                      0,                      0,                 23.638,                      0,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                      0,                 123.01,                      0,                      0,                      0,                      0,                      0,                      0,                 23.645,                      0,             1.9533e-05,             1.9533e-05,             1.9533e-05
                      4,                      0,                  121.1,                      0,                      0,                      0,                      0,                      0,                      0,                 23.665,                      0,             1.7905e-05,             1.7905e-05,             1.7905e-05
                      5,                      0,                 120.25,                      0,                      0,                      0,                      0,                      0,                      0,                 23.676,                      0,             1.1619e-05,             1.1619e-05,             1.1619e-05
